Maze,A*,,,,RRT,,,D* Lite,,,
,Graph Creation Time (s),Algorithm time (s),PathCompletionTime (s),Steps,Graph Creation Time (s),PathCompletionTime (s),Steps,Graph Creation Time (s),Algorithm time (s),PathCompletionTime (s),Steps
maze_3_1,33.13814,0.0019987,51.9920025,56,7.8148396,42.287065,11,31.8616982,0.1787956,49.5979693,56
maze_3_5,30.611321,0.0019999,49.3484678,44,2.2875803,30.606915,5,31.4166703,0.1826792,38.5559475,44
maze_3_10,29.872916,0.0020001,54.9548533,56,6.1532106,37.5725954,13,30.4749885,0.1759543,49.7611175,56
maze_5_1,40.0105438,0.0019994,61.5846872,66,27.5148852,47.9583194,18,40.5238831,0.139472,60.3717518,66
maze_5_5,37.3688319,0.0020001,63.3626573,66,16.4467375,39.7848475,16,38.7022216,0.1499901,63.1227136,66
maze_5_10,38.7688544,0.0019972,41.0164652,44,6.0577741,28.1949558,8,40.6851072,0.1412663,41.2322073,44
maze_8_1,48.8439043,0.0009992,68.0417917,74,138.5733662,61.1791947,24,50.6212263,0.0905724,69.8143613,74
maze_8_5,43.6561532,0.0009978,48.168648,48,71.1899662,39.3212848,16,42.70807,0.0904055,46.262404,48
maze_8_10,43.9258952,0.0010104,99.1097209,102,109.5829374,85.2893746,34,44.4249468,0.0986006,101.4596817,102
maze_10_1,438.2073796,0.007134,160.031708,171,423.0192848,157.8039201,65,436.3569357,2.2181973,185.7853587,171
maze_10_5,412.300642,0.0246153,143.6027999,159,189.4738202,126.9201745,48,434.3193488,1.8476281,172.0501559,159
maze_10_10,419.55861,0.0065091,102.6245365,113,143.9302746,98.9064823,31,415.0204687,2.224041,119.2290406,113
